source,target,relation_type
Ahmet Doğan,Akın Doğan,LISE_ARKADASI
Ahmet Doğan,Akın Doğan,AYNI_KURUMDA_CALISMIS
Akın Doğan,Ahmet Doğan,LISE_ARKADASI
Akın Doğan,Ahmet Doğan,AYNI_KURUMDA_CALISMIS
Ahmet Doğan,Ali Türkmen,LISE_ARKADASI
Ahmet Doğan,Ali Türkmen,UNIVERSITE_ARKADASI
Ahmet Doğan,Ali Türkmen,AYNI_KURUMDA_CALISMIS
Ali Türkmen,Ahmet Doğan,LISE_ARKADASI
Ali Türkmen,Ahmet Doğan,UNIVERSITE_ARKADASI
Ali Türkmen,Ahmet Doğan,AYNI_KURUMDA_CALISMIS
Ahmet Doğan,Alperen Baran,AYNI_MEMLEKETTEN
Alperen Baran,Ahmet Doğan,AYNI_MEMLEKETTEN
Ahmet Doğan,Alperen Uzun,AYNI_MEMLEKETTEN
Alperen Uzun,Ahmet Doğan,AYNI_MEMLEKETTEN
Ahmet Doğan,Alperen Yılmaz,LISE_ARKADASI
Ahmet Doğan,Alperen Yılmaz,UNIVERSITE_ARKADASI
Ahmet Doğan,Alperen Yılmaz,MESLEKTAS
Alperen Yılmaz,Ahmet Doğan,LISE_ARKADASI
Alperen Yılmaz,Ahmet Doğan,UNIVERSITE_ARKADASI
Alperen Yılmaz,Ahmet Doğan,MESLEKTAS
Ahmet Doğan,Ayhan Korkmaz,UNIVERSITE_ARKADASI
Ayhan Korkmaz,Ahmet Doğan,UNIVERSITE_ARKADASI
Ahmet Doğan,Ayşegül Keskin,UNIVERSITE_ARKADASI
Ayşegül Keskin,Ahmet Doğan,UNIVERSITE_ARKADASI
Ahmet Doğan,Bahar Erdoğan,AYNI_MEMLEKETTEN
Bahar Erdoğan,Ahmet Doğan,AYNI_MEMLEKETTEN
Ahmet Doğan,Batuhan Özdemir,LISE_ARKADASI
Ahmet Doğan,Batuhan Özdemir,UNIVERSITE_ARKADASI
Batuhan Özdemir,Ahmet Doğan,LISE_ARKADASI
Batuhan Özdemir,Ahmet Doğan,UNIVERSITE_ARKADASI
Ahmet Doğan,Bülent Yıldız,AYNI_MEMLEKETTEN
Ahmet Doğan,Bülent Yıldız,LISE_ARKADASI
Ahmet Doğan,Bülent Yıldız,UNIVERSITE_ARKADASI
Ahmet Doğan,Bülent Yıldız,MESLEKTAS
Bülent Yıldız,Ahmet Doğan,AYNI_MEMLEKETTEN
Bülent Yıldız,Ahmet Doğan,LISE_ARKADASI
Bülent Yıldız,Ahmet Doğan,UNIVERSITE_ARKADASI
Bülent Yıldız,Ahmet Doğan,MESLEKTAS
Ahmet Doğan,Burak Acar,YUKSEK_LISANS_ARKADASI
Ahmet Doğan,Burak Acar,AYNI_KURUMDA_CALISMIS
Burak Acar,Ahmet Doğan,YUKSEK_LISANS_ARKADASI
Burak Acar,Ahmet Doğan,AYNI_KURUMDA_CALISMIS
Ahmet Doğan,Burcu Özsoy,LISE_ARKADASI
Burcu Özsoy,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Burhan Doğan,UNIVERSITE_ARKADASI
Ahmet Doğan,Burhan Doğan,MESLEKTAS
Ahmet Doğan,Burhan Doğan,AYNI_KURUMDA_CALISMIS
Burhan Doğan,Ahmet Doğan,UNIVERSITE_ARKADASI
Burhan Doğan,Ahmet Doğan,MESLEKTAS
Burhan Doğan,Ahmet Doğan,AYNI_KURUMDA_CALISMIS
Ahmet Doğan,Burhan Türkmen,LISE_ARKADASI
Burhan Türkmen,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Canan Kaya,YUKSEK_LISANS_ARKADASI
Canan Kaya,Ahmet Doğan,YUKSEK_LISANS_ARKADASI
Ahmet Doğan,Cem Şimşek,LISE_ARKADASI
Ahmet Doğan,Cem Şimşek,MESLEKTAS
Cem Şimşek,Ahmet Doğan,LISE_ARKADASI
Cem Şimşek,Ahmet Doğan,MESLEKTAS
Ahmet Doğan,Ceren Yılmaz,YUKSEK_LISANS_ARKADASI
Ahmet Doğan,Ceren Yılmaz,MESLEKTAS
Ceren Yılmaz,Ahmet Doğan,YUKSEK_LISANS_ARKADASI
Ceren Yılmaz,Ahmet Doğan,MESLEKTAS
Ahmet Doğan,Ceyda Doğan,UNIVERSITE_ARKADASI
Ceyda Doğan,Ahmet Doğan,UNIVERSITE_ARKADASI
Ahmet Doğan,Cihan Aktaş,MESLEKTAS
Cihan Aktaş,Ahmet Doğan,MESLEKTAS
Ahmet Doğan,Derya Avcı,MESLEKTAS
Derya Avcı,Ahmet Doğan,MESLEKTAS
Ahmet Doğan,Derya Çelik,MESLEKTAS
Derya Çelik,Ahmet Doğan,MESLEKTAS
Ahmet Doğan,Duygu Ergin,UNIVERSITE_ARKADASI
Duygu Ergin,Ahmet Doğan,UNIVERSITE_ARKADASI
Ahmet Doğan,Duygu Özkan,MESLEKTAS
Duygu Özkan,Ahmet Doğan,MESLEKTAS
Ahmet Doğan,Ebru Avcı,AYNI_MEMLEKETTEN
Ebru Avcı,Ahmet Doğan,AYNI_MEMLEKETTEN
Ahmet Doğan,Eda Altun,LISE_ARKADASI
Ahmet Doğan,Eda Altun,UNIVERSITE_ARKADASI
Ahmet Doğan,Eda Altun,AYNI_KURUMDA_CALISMIS
Eda Altun,Ahmet Doğan,LISE_ARKADASI
Eda Altun,Ahmet Doğan,UNIVERSITE_ARKADASI
Eda Altun,Ahmet Doğan,AYNI_KURUMDA_CALISMIS
Ahmet Doğan,Elif Güneş,YUKSEK_LISANS_ARKADASI
Elif Güneş,Ahmet Doğan,YUKSEK_LISANS_ARKADASI
Ahmet Doğan,Emrah Baran,AYNI_MEMLEKETTEN
Ahmet Doğan,Emrah Baran,YUKSEK_LISANS_ARKADASI
Emrah Baran,Ahmet Doğan,AYNI_MEMLEKETTEN
Emrah Baran,Ahmet Doğan,YUKSEK_LISANS_ARKADASI
Ahmet Doğan,Engin Tan,YUKSEK_LISANS_ARKADASI
Ahmet Doğan,Engin Tan,MESLEKTAS
Engin Tan,Ahmet Doğan,YUKSEK_LISANS_ARKADASI
Engin Tan,Ahmet Doğan,MESLEKTAS
Ahmet Doğan,Faruk Keskin,MESLEKTAS
Faruk Keskin,Ahmet Doğan,MESLEKTAS
Ahmet Doğan,Faruk Korkmaz,AYNI_MEMLEKETTEN
Faruk Korkmaz,Ahmet Doğan,AYNI_MEMLEKETTEN
Ahmet Doğan,Ferhat Kurt,UNIVERSITE_ARKADASI
Ferhat Kurt,Ahmet Doğan,UNIVERSITE_ARKADASI
Ahmet Doğan,Fikri Bulut,LISE_ARKADASI
Fikri Bulut,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Fikri Polat,LISE_ARKADASI
Fikri Polat,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Fuat Bulut,UNIVERSITE_ARKADASI
Ahmet Doğan,Fuat Bulut,MESLEKTAS
Fuat Bulut,Ahmet Doğan,UNIVERSITE_ARKADASI
