ad,dogum_yeri,dogum_tarihi,yas,ilkokul,ilkokul_yillari,lise,lise_yillari,universite,universite_yillari,bolum,yuksek_lisans,yuksek_lisans_yillari,doktora,doktora_yillari,calistigi_kurumlar,calisma_yillari,kurdugu_girisim_ve_dernekler,girisim_kurulus_yillari,yasadigi_sehir,hobiler,es,cocuklar,akademik_yayinlar,yayin_yillari,dosya_adi,ilkokul_yillari_baslangic,ilkokul_yillari_bitis,lise_yillari_baslangic,lise_yillari_bitis,universite_yillari_baslangic,universite_yillari_bitis,yuksek_lisans_yillari_baslangic,yuksek_lisans_yillari_bitis,doktora_yillari_baslangic,doktora_yillari_bitis,calisma_yillari_baslangic,calisma_yillari_bitis
Ahmet Doğan,Kayseri,15.03.1988,37,Hacı Bektaş-ı Veli İlkokulu,1994-2002,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi (ODTÜ),2006-2010,Bilgisayar Mühendisliği,Koç Üniversitesi,2010-2012,,None,"['ASELSAN', 'SAP Türkiye', 'Artemis Yazılım']","['2010-2014', '2014-2017', '2017-devam ediyor']",['Artemis Yazılım'],['2017'],İstanbul,"['Tarihi roman okumak', 'amatör drone fotoğrafçılığı', 'bağlama çalmak', 'açık kaynak yazılım projelerine katkıda bulunmak']",Elif Doğan,"['Deniz Doğan', 'Ada Doğan']",[],[],ahmet_dogan.md,1994,2002,2002,2006,2006,2010,2010,2012,None,,['2010,"2014', '2014-2017', '2017-devam ediyor']"
Akın Doğan,Bursa,15.06.1989,36,Bursa Osmangazi İlkokulu,1996-2000,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi,2007-2011,Elektrik ve Elektronik Mühendisliği,Hacettepe Üniversitesi,2011-2013,,None,"['ASELSAN', 'Türk Havacılık ve Uzay Sanayii A.Ş.', 'İleri Otomasyon Teknolojileri A.Ş.']","['2010-2014', '2014-2019', '2019-devam ediyor']",['Geleceğin Mühendisleri Derneği'],[],Ankara,"['drone fotoğrafçılığı', 'dağ yürüyüşleri', 'robotik kodlama']",Elif Kaya,"['Deniz', 'Can']","['Adaptive Control of Robotic Manipulators Using Reinforcement Learning', 'Real-time Object Recognition for Autonomous Navigation Systems in Unstructured Environments']","['2012', '2014']",akin_dogan.md,1996,2000,2002,2006,2007,2011,2011,2013,None,,['2010,"2014', '2014-2019', '2019-devam ediyor']"
Ali Türkmen,Samsun,10.03.1988,37,Samsun Atakum İlk Adım İlköğretim Okulu,1995-2002,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi (ODTÜ),2006-2010,Şehir ve Bölge Planlama,Hacettepe Üniversitesi,2011-2013,,None,"['Ankara Büyükşehir Belediyesi', 'ASELSAN', 'TEMA Vakfı', 'Birleşmiş Milletler Kalkınma Programı (UNDP) Türkiye Ofisi', 'Sürdürülebilir Kentler Araştırma ve Danışmanlık']","['2010-2011', '2011-2014', '2014-2018', '2018-2022', '2022-devam ediyor']",['Sürdürülebilir Kentler Araştırma ve Danışmanlık'],['2022'],Ankara,"['Doğa yürüyüşleri', 'Kuş gözlemciliği', 'Analog fotoğrafçılık', 'Tarih kitapları okumak', 'Farklı kültürleri araştırmak']",Ayşe Türkmen,"['Efe Türkmen', 'Zeynep Türkmen']","[""Ankara'da Yeşil Altyapı Planlamasının Kentsel Dirençliliğe Etkileri"", ""Türkiye'de Kentsel Dönüşüm Projelerinde Katılımcı Yaklaşımların Analizi""]","['2017', '2020']",ali_turkmen.md,1995,2002,2002,2006,2006,2010,2011,2013,None,,['2010,"2011', '2011-2014', '2014-2018', '2018-2022', '2022-devam ediyor']"
Alparslan Aydın,Ankara,07.03.1985,40,Çankaya İlkokulu,1991-1996,Anıttepe Lisesi,1999-2003,Gazi Üniversitesi,2003-2007,Mimarlık,Mimar Sinan Güzel Sanatlar Üniversitesi,2008-2010,,None,"['Görkem Mimarlık', 'Tektaş Mimarlık', 'Mesa Mesken Sanayii A.Ş.', 'Kadim Sanat Mimarlık']","['2007-2008', '2010-2014', '2014-2019', '2019-devam ediyor']",['Kadim Sanat Mimarlık'],['2019'],İstanbul,"['Urban sketching', 'Suluboya ile tarihi mekan çizimi', 'Antik kent ve ören yeri ziyaretleri', 'Ahşap model yapımı', 'Klasik Türk müziği dinlemek', 'Ud çalmak', 'Eski kitap, harita ve mimari çizim koleksiyonları toplamak']",Elif Aydın,"['Can Aydın', 'Zeynep Aydın']","['Cumbalı Evlerden Butik Otellere: Beyoğlu Sivil Mimarisinde Fonksiyonel Dönüşüm', ""Anadolu'daki Roma Tiyatrolarının Kent Dokusuna Entegrasyonu Üzerine Bir Araştırma"", ""Tarihi Yarımada'da Sürdürülebilir Restorasyon Yaklaşımları""]","['2014', '2017', '2021']",alparslan_aydin.md,1991,1996,1999,2003,2003,2007,2008,2010,None,,['2007,"2008', '2010-2014', '2014-2019', '2019-devam ediyor']"
Alperen Aydın,İzmir,15.08.1985,40,Mustafa Kemal İlkokulu,1991-1996,İzmir Bornova Anadolu Lisesi,1996-2003,Ege Üniversitesi,2003-2007,Halkla İlişkiler ve Tanıtım,Bahçeşehir Üniversitesi,2009-2011,,None,"['Marka İletişim Ajansı', 'Trendyol', 'Turkcell', 'Hepsiburada', 'Dijital Köprü']","['2007-2009', '2009-2013', '2013-2017', '2017-2021', '2021-devam ediyor']",['Dijital Köprü'],['2021'],İstanbul,"['amatör fotoğrafçılık', 'doğa fotoğrafçılığı', 'sokak fotoğrafçılığı', 'uzun yürüyüşler', 'kampçılık', 'eski Türk filmlerini izlemek', 'mutfakta yeni yemek tarifleri denemek']",Elif Aydın,"['Deniz', 'Can']","['Sosyal Medyanın Tüketici Satın Alma Kararları Üzerindeki Etkisi: E-Ticaret Sektöründe Bir Araştırma', 'Dijital Eşitsizliği Azaltmada Sosyal Girişimlerin Rolü: Dijital Köprü Örneği']","['2011', '2022']",alperen_aydin.md,1991,1996,1996,2003,2003,2007,2009,2011,None,,['2007,"2009', '2009-2013', '2013-2017', '2017-2021', '2021-devam ediyor']"
Alperen Baran,Kayseri,15.06.1989,36,Kayseri Osman Düşüngel İlköğretim Okulu,1996-2000,Kayseri Nuh Mehmet Baldöktü Anadolu Lisesi,2000-2004,Boğaziçi Üniversitesi,2008-2012,Ekonomi,Koç Üniversitesi,2013-2015,,None,"['Yapı Kredi Bankası', 'Garanti BBVA']","['2012-2017', '2017-2020']",['Portföyüm.ai'],['2020'],İstanbul,"['koşu yapmak', 'doğa fotoğrafçılığı', 'finansal teknoloji trendlerini takip etmek', 'yerel maratonlara katılmak']",Elif Şahin,"['Zeynep', 'Emre']","['Bireysel Yatırımcı Tercihlerinde Dijital Aracılık Platformlarının Rolü', 'Algoritmik Ticaretin Türkiye Borsaları Üzerindeki Etkisi: Bir Vaka Analizi']","['2016', '2019']",alperen_baran.md,1996,2000,2000,2004,2008,2012,2013,2015,None,,['2012,"2017', '2017-2020']"
Alperen Uzun,Kayseri,15.06.1986,39,Erciyes İlköğretim Okulu,1993-2000,Kayseri Fen Lisesi,2000-2004,İstanbul Teknik Üniversitesi (İTÜ),2005-2009,Şehir ve Bölge Planlama,Boğaziçi Üniversitesi,2009-2011,,None,"['Kültür ve Turizm Bakanlığı', 'Pera Müzesi', 'Koç Üniversitesi Vehbi Koç Ankara Araştırmaları Uygulama ve Araştırma Merkezi (VEKAM)']","['2011-2014', '2014-2018', '2018-devam ediyor']",['Miras Dijital'],['2019'],Ankara,"['eski haritalar toplamak', 'şehirlerin az bilinen köşelerinde yürüyüşler yapmak', 'yerel pazarları gezerek kaybolan zanaatları keşfetmek', 'belgesel izlemek', 'Osmanlıca öğrenmek']",Elif Uzun,"['Defne', 'Demir']","[""Türkiye'deki Osmanlı Arşivlerinin Dijitalleştirilmesi Süreçleri ve Zorlukları"", 'Kültürel Mirasın Blockchain Teknolojisi ile Korunması Üzerine Bir Araştırma', 'Anadolu Kentlerinin Kentsel Belleği: Dijital Hikayecilik Yaklaşımı']","['2015', '2021', '2023']",alperen_uzun.md,1993,2000,2000,2004,2005,2009,2009,2011,None,,['2011,"2014', '2014-2018', '2018-devam ediyor']"
Alperen Yılmaz,Ankara,07.03.1989,36,Ankara Mimar Kemal İlköğretim Okulu,1995-2002,Ankara Fen Lisesi,2002-2006,Orta Doğu Teknik Üniversitesi (ODTÜ),2007-2011,Bilgisayar Mühendisliği,Bilkent Üniversitesi,2011-2013,,None,"['VeriFabrikası Teknoloji A.Ş.', 'Garanti BBVA', 'sahibinden.com']","['2013-2015', '2015-2019', '2019-devam ediyor']",['Kodlama Atölyesi'],['2021'],Ankara,"['doğa yürüyüşleri yapmak', 'amatör fotoğrafçılık', 'yapay zeka ile dijital sanat eserleri üretmek', 'bilim kurgu romanı okumak', 'yeni teknoloji makaleleri okumak']",Elif Yılmaz,"['Ada', 'Can']","['Deep Learning for Emotion Recognition in Textual Data', 'Ethical Implications of AI in Financial Services']","['2013', '2018']",alperen_yilmaz.md,1995,2002,2002,2006,2007,2011,2011,2013,None,,['2013,"2015', '2015-2019', '2019-devam ediyor']"
Ayhan Korkmaz,Ankara,18.04.1986,39,Ankara Mehmet Akif Ersoy İlkokulu,1992-1997,Ankara Atatürk Anadolu Lisesi,1997-2001,Orta Doğu Teknik Üniversitesi (ODTÜ),2004-2008,İnşaat Mühendisliği,Hacettepe Üniversitesi,2010-2012,,None,"['Çalık Enerji', 'Emlak Konut GYO']","['2008-2013', '2013-2018']","['Yeşil Şehirler İnisiyatifi', 'Genç Şehir Plancıları Derneği']","['2018', None]",Ankara,"['dağcılık', 'yürüyüş', 'analog fotoğrafçılık', 'tarih okumak', 'belgesel izlemek']",Elif Korkmaz,"['Defne', 'Can']","[""Ankara'da Kentsel Dönüşüm Projelerinin Sosyal Sürdürülebilirlik Üzerine Etkileri"", ""Türkiye'de Akıllı Şehir Uygulamaları ve Gelecek Potansiyelleri""]","['2013', '2016']",ayhan_korkmaz.md,1992,1997,1997,2001,2004,2008,2010,2012,None,,['2008,"2013', '2013-2018']"
Ayla Çakır,Ankara,15.06.1988,37,Çankaya Mehmet Akif Ersoy İlkokulu,1994-2000,Ankara Çankaya Ayrancı Anadolu Lisesi,2000-2004,Ankara Üniversitesi,2004-2008,Arkeoloji Bölümü,Hacettepe Üniversitesi,2008-2010,Ege Üniversitesi,2012-2017,"['Ankara Anadolu Medeniyetleri Müzesi', 'Kültür ve Turizm Bakanlığı, Kültürel Miras ve Müzeler Genel Müdürlüğü', 'İzmir Büyükşehir Belediyesi, Kültür ve Sanat Daire Başkanlığı', 'Miras Adına Danışmanlık ve Eğitim Hizmetleri']","['2010-2012', '2012-2017', '2017-2021', '2021-devam ediyor']",['Miras Adına Danışmanlık ve Eğitim Hizmetleri'],['2021'],İzmir,"['amatör fotoğrafçılık', 'el sanatları atölyelerine katılmak', 'doğa yürüyüşleri', ""Türkiye'nin kültürel rotalarında seyahat etmek"", 'klasik müzik dinlemek', 'tarihi romanlar okumak']",Caner Demir,"['Defne', 'Alp']","[""Türkiye'de Kent Müzeciliği ve Sürdürülebilirlik"", 'Dijital Çağda Arkeolojik Mirasın Belgelenmesi ve Sunumu: Anadolu Örneği', 'Kültürel Mirasın Toplumsal Katılımla Korunması: İzmir Kent Belleği Projesi Üzerine Bir İnceleme', 'Sanal Gerçeklik ile Antik Kent Deneyimi: Efes Örneği']","['2010', '2017', '2019', '2022']",ayla_cakir.md,1994,2000,2000,2004,2004,2008,2008,2010,2012,2017,['2010,"2012', '2012-2017', '2017-2021', '2021-devam ediyor']"
