source,target,relation_type
Akın Doğan,Can Uçar,ILKOKUL_ARKADASI
Can Uçar,Akın Doğan,ILKOKUL_ARKADASI
Akın Doğan,Derya Çelik,ILKOKUL_ARKADASI
Derya Çelik,Akın Doğan,ILKOKUL_ARKADASI
Akın Doğan,Elif Yalçın,ILKOKUL_ARKADASI
Elif Yalçın,Akın Doğan,ILKOKUL_ARKADASI
Alparslan Aydın,Halit Baran,ILKOKUL_ARKADASI
Halit Baran,Alparslan Aydın,ILKOKUL_ARKADASI
Alparslan Aydın,Nefise Aydın,ILKOKUL_ARKADASI
Nefise Aydın,Alparslan Aydın,ILKOKUL_ARKADASI
Alparslan Aydın,Ozan Tan,ILKOKUL_ARKADASI
Ozan Tan,Alparslan Aydın,ILKOKUL_ARKADASI
Alparslan Aydın,Vildan Yılmaz,ILKOKUL_ARKADASI
Vildan Yılmaz,Alparslan Aydın,ILKOKUL_ARKADASI
Alparslan Aydın,Zeynep Uzun,ILKOKUL_ARKADASI
Zeynep Uzun,Alparslan Aydın,ILKOKUL_ARKADASI
Alperen Aydın,Eda Altun,ILKOKUL_ARKADASI
Eda Altun,Alperen Aydın,ILKOKUL_ARKADASI
Alperen Aydın,Emrah Baran,ILKOKUL_ARKADASI
Emrah Baran,Alperen Aydın,ILKOKUL_ARKADASI
Alperen Uzun,Kaan Yılmaz,ILKOKUL_ARKADASI
Kaan Yılmaz,Alperen Uzun,ILKOKUL_ARKADASI
Alperen Uzun,Süleyman Eren,ILKOKUL_ARKADASI
Süleyman Eren,Alperen Uzun,ILKOKUL_ARKADASI
Alperen Uzun,Süleyman Özkan,ILKOKUL_ARKADASI
Süleyman Özkan,Alperen Uzun,ILKOKUL_ARKADASI
Ayşe Çakır,Ferhat Kurt,ILKOKUL_ARKADASI
Ferhat Kurt,Ayşe Çakır,ILKOKUL_ARKADASI
Ayşe Çakır,Meltem Karaca,ILKOKUL_ARKADASI
Meltem Karaca,Ayşe Çakır,ILKOKUL_ARKADASI
Ayşe Çakır,Özge Şimşek,ILKOKUL_ARKADASI
Özge Şimşek,Ayşe Çakır,ILKOKUL_ARKADASI
Ayşe Çakır,Ramazan Kaplan,ILKOKUL_ARKADASI
Ramazan Kaplan,Ayşe Çakır,ILKOKUL_ARKADASI
Ayşe Çakır,Salih Polat,ILKOKUL_ARKADASI
Salih Polat,Ayşe Çakır,ILKOKUL_ARKADASI
Ayşe Çakır,Sinan Sezer,ILKOKUL_ARKADASI
Sinan Sezer,Ayşe Çakır,ILKOKUL_ARKADASI
Batuhan Özdemir,Ozan Doğan,ILKOKUL_ARKADASI
Ozan Doğan,Batuhan Özdemir,ILKOKUL_ARKADASI
Batuhan Uçar,Duygu Özkan,ILKOKUL_ARKADASI
Duygu Özkan,Batuhan Uçar,ILKOKUL_ARKADASI
Batuhan Uçar,Hümeyra Güler,ILKOKUL_ARKADASI
Hümeyra Güler,Batuhan Uçar,ILKOKUL_ARKADASI
Batuhan Uçar,Melek Yılmaz,ILKOKUL_ARKADASI
Melek Yılmaz,Batuhan Uçar,ILKOKUL_ARKADASI
Baturalp Polat,Betül Doğan,ILKOKUL_ARKADASI
Betül Doğan,Baturalp Polat,ILKOKUL_ARKADASI
Baturalp Polat,Hasan Bozkurt,ILKOKUL_ARKADASI
Hasan Bozkurt,Baturalp Polat,ILKOKUL_ARKADASI
Baturalp Polat,Özgür Özsoy,ILKOKUL_ARKADASI
Özgür Özsoy,Baturalp Polat,ILKOKUL_ARKADASI
Baturalp Polat,Süleyman Çakır,ILKOKUL_ARKADASI
Süleyman Çakır,Baturalp Polat,ILKOKUL_ARKADASI
Baturalp Polat,Yasemin Sezer,ILKOKUL_ARKADASI
Yasemin Sezer,Baturalp Polat,ILKOKUL_ARKADASI
Betül Doğan,Hasan Bozkurt,ILKOKUL_ARKADASI
Hasan Bozkurt,Betül Doğan,ILKOKUL_ARKADASI
Betül Doğan,Özgür Özsoy,ILKOKUL_ARKADASI
Özgür Özsoy,Betül Doğan,ILKOKUL_ARKADASI
Betül Doğan,Süleyman Çakır,ILKOKUL_ARKADASI
Süleyman Çakır,Betül Doğan,ILKOKUL_ARKADASI
Betül Doğan,Yasemin Sezer,ILKOKUL_ARKADASI
Yasemin Sezer,Betül Doğan,ILKOKUL_ARKADASI
Can Uçar,Derya Çelik,ILKOKUL_ARKADASI
Derya Çelik,Can Uçar,ILKOKUL_ARKADASI
Can Uçar,Elif Yalçın,ILKOKUL_ARKADASI
Elif Yalçın,Can Uçar,ILKOKUL_ARKADASI
Cemre Özkan,Kaan Güneş,ILKOKUL_ARKADASI
Kaan Güneş,Cemre Özkan,ILKOKUL_ARKADASI
Cem Şimşek,Hatice Polat,ILKOKUL_ARKADASI
Hatice Polat,Cem Şimşek,ILKOKUL_ARKADASI
Cihan Aktaş,Erhan Keskin,ILKOKUL_ARKADASI
Erhan Keskin,Cihan Aktaş,ILKOKUL_ARKADASI
Derya Avcı,İkra Demir,ILKOKUL_ARKADASI
İkra Demir,Derya Avcı,ILKOKUL_ARKADASI
Derya Çelik,Elif Yalçın,ILKOKUL_ARKADASI
Elif Yalçın,Derya Çelik,ILKOKUL_ARKADASI
Duygu Özkan,Hümeyra Güler,ILKOKUL_ARKADASI
Hümeyra Güler,Duygu Özkan,ILKOKUL_ARKADASI
Duygu Özkan,Melek Yılmaz,ILKOKUL_ARKADASI
Melek Yılmaz,Duygu Özkan,ILKOKUL_ARKADASI
