source,target,relation_type
Ahmet Doğan,Akın Doğan,LISE_ARKADASI
Akın Doğan,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Ali Türkmen,LISE_ARKADASI
Ali Türkmen,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Alperen Yılmaz,LISE_ARKADASI
Alperen Yılmaz,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Batuhan Özdemir,LISE_ARKADASI
Batuhan Özdemir,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Bülent Yıldız,LISE_ARKADASI
Bülent Yıldız,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Burcu Özsoy,LISE_ARKADASI
Burcu Özsoy,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Burhan Türkmen,LISE_ARKADASI
Burhan Türkmen,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Cem Şimşek,LISE_ARKADASI
Cem Şimşek,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Eda Altun,LISE_ARKADASI
Eda Altun,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Fikri Bulut,LISE_ARKADASI
Fikri Bulut,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Fikri Polat,LISE_ARKADASI
Fikri Polat,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Gökhan Çakır,LISE_ARKADASI
Gökhan Çakır,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Gökhan Tan,LISE_ARKADASI
Gökhan Tan,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Gülnur Toprak,LISE_ARKADASI
Gülnur Toprak,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Haluk Erdoğan,LISE_ARKADASI
Haluk Erdoğan,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Hasan Aksoy,LISE_ARKADASI
Hasan Aksoy,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Hümeyra Güler,LISE_ARKADASI
Hümeyra Güler,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Hüsnü Aktaş,LISE_ARKADASI
Hüsnü Aktaş,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,İzzet Arslan,LISE_ARKADASI
İzzet Arslan,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Kaan Baran,LISE_ARKADASI
Kaan Baran,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Kaan Özdemir,LISE_ARKADASI
Kaan Özdemir,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Melek Aksoy,LISE_ARKADASI
Melek Aksoy,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Melek Yılmaz,LISE_ARKADASI
Melek Yılmaz,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Melis Demir,LISE_ARKADASI
Melis Demir,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Meryem Tan,LISE_ARKADASI
Meryem Tan,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Nefise Aydın,LISE_ARKADASI
Nefise Aydın,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Onur Aslan,LISE_ARKADASI
Onur Aslan,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Ozan Altun,LISE_ARKADASI
Ozan Altun,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Ozan Doğan,LISE_ARKADASI
Ozan Doğan,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Özge Karaca,LISE_ARKADASI
Özge Karaca,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Sedef Sezer,LISE_ARKADASI
Sedef Sezer,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Sinan Sezer,LISE_ARKADASI
Sinan Sezer,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Şirin Erdoğan,LISE_ARKADASI
Şirin Erdoğan,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Süleyman Kara,LISE_ARKADASI
Süleyman Kara,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Süleyman Özkan,LISE_ARKADASI
Süleyman Özkan,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Tarık Aktaş,LISE_ARKADASI
Tarık Aktaş,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Uğur Aydın,LISE_ARKADASI
Uğur Aydın,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Veli Taş,LISE_ARKADASI
Veli Taş,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Vildan Güler,LISE_ARKADASI
Vildan Güler,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Vildan Yılmaz,LISE_ARKADASI
Vildan Yılmaz,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Yeliz Yıldız,LISE_ARKADASI
Yeliz Yıldız,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Yunus Yılmaz,LISE_ARKADASI
Yunus Yılmaz,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Zehra Ermiş,LISE_ARKADASI
Zehra Ermiş,Ahmet Doğan,LISE_ARKADASI
Ahmet Doğan,Zeynep Uzun,LISE_ARKADASI
Zeynep Uzun,Ahmet Doğan,LISE_ARKADASI
Akın Doğan,Ali Türkmen,LISE_ARKADASI
Ali Türkmen,Akın Doğan,LISE_ARKADASI
Akın Doğan,Alperen Yılmaz,LISE_ARKADASI
Alperen Yılmaz,Akın Doğan,LISE_ARKADASI
Akın Doğan,Batuhan Özdemir,LISE_ARKADASI
Batuhan Özdemir,Akın Doğan,LISE_ARKADASI
Akın Doğan,Bülent Yıldız,LISE_ARKADASI
Bülent Yıldız,Akın Doğan,LISE_ARKADASI
Akın Doğan,Burcu Özsoy,LISE_ARKADASI
Burcu Özsoy,Akın Doğan,LISE_ARKADASI
Akın Doğan,Burhan Türkmen,LISE_ARKADASI
Burhan Türkmen,Akın Doğan,LISE_ARKADASI
Akın Doğan,Cem Şimşek,LISE_ARKADASI
Cem Şimşek,Akın Doğan,LISE_ARKADASI
Akın Doğan,Eda Altun,LISE_ARKADASI
Eda Altun,Akın Doğan,LISE_ARKADASI
Akın Doğan,Fikri Bulut,LISE_ARKADASI
Fikri Bulut,Akın Doğan,LISE_ARKADASI
Akın Doğan,Fikri Polat,LISE_ARKADASI
Fikri Polat,Akın Doğan,LISE_ARKADASI
Akın Doğan,Gökhan Çakır,LISE_ARKADASI
Gökhan Çakır,Akın Doğan,LISE_ARKADASI
Akın Doğan,Gökhan Tan,LISE_ARKADASI
Gökhan Tan,Akın Doğan,LISE_ARKADASI
Akın Doğan,Gülnur Toprak,LISE_ARKADASI
Gülnur Toprak,Akın Doğan,LISE_ARKADASI
Akın Doğan,Haluk Erdoğan,LISE_ARKADASI
Haluk Erdoğan,Akın Doğan,LISE_ARKADASI
Akın Doğan,Hasan Aksoy,LISE_ARKADASI
Hasan Aksoy,Akın Doğan,LISE_ARKADASI
Akın Doğan,Hümeyra Güler,LISE_ARKADASI
Hümeyra Güler,Akın Doğan,LISE_ARKADASI
Akın Doğan,Hüsnü Aktaş,LISE_ARKADASI
Hüsnü Aktaş,Akın Doğan,LISE_ARKADASI
Akın Doğan,İzzet Arslan,LISE_ARKADASI
İzzet Arslan,Akın Doğan,LISE_ARKADASI
Akın Doğan,Kaan Baran,LISE_ARKADASI
Kaan Baran,Akın Doğan,LISE_ARKADASI
Akın Doğan,Kaan Özdemir,LISE_ARKADASI
Kaan Özdemir,Akın Doğan,LISE_ARKADASI
Akın Doğan,Melek Aksoy,LISE_ARKADASI
Melek Aksoy,Akın Doğan,LISE_ARKADASI
Akın Doğan,Melek Yılmaz,LISE_ARKADASI
Melek Yılmaz,Akın Doğan,LISE_ARKADASI
Akın Doğan,Melis Demir,LISE_ARKADASI
Melis Demir,Akın Doğan,LISE_ARKADASI
Akın Doğan,Meryem Tan,LISE_ARKADASI
Meryem Tan,Akın Doğan,LISE_ARKADASI
Akın Doğan,Nefise Aydın,LISE_ARKADASI
Nefise Aydın,Akın Doğan,LISE_ARKADASI
Akın Doğan,Onur Aslan,LISE_ARKADASI
Onur Aslan,Akın Doğan,LISE_ARKADASI
Akın Doğan,Ozan Altun,LISE_ARKADASI
Ozan Altun,Akın Doğan,LISE_ARKADASI
Akın Doğan,Ozan Doğan,LISE_ARKADASI
Ozan Doğan,Akın Doğan,LISE_ARKADASI
Akın Doğan,Özge Karaca,LISE_ARKADASI
Özge Karaca,Akın Doğan,LISE_ARKADASI
Akın Doğan,Sedef Sezer,LISE_ARKADASI
Sedef Sezer,Akın Doğan,LISE_ARKADASI
Akın Doğan,Sinan Sezer,LISE_ARKADASI
Sinan Sezer,Akın Doğan,LISE_ARKADASI
Akın Doğan,Şirin Erdoğan,LISE_ARKADASI
Şirin Erdoğan,Akın Doğan,LISE_ARKADASI
Akın Doğan,Süleyman Kara,LISE_ARKADASI
Süleyman Kara,Akın Doğan,LISE_ARKADASI
Akın Doğan,Süleyman Özkan,LISE_ARKADASI
Süleyman Özkan,Akın Doğan,LISE_ARKADASI
Akın Doğan,Tarık Aktaş,LISE_ARKADASI
Tarık Aktaş,Akın Doğan,LISE_ARKADASI
Akın Doğan,Uğur Aydın,LISE_ARKADASI
Uğur Aydın,Akın Doğan,LISE_ARKADASI
Akın Doğan,Veli Taş,LISE_ARKADASI
Veli Taş,Akın Doğan,LISE_ARKADASI
Akın Doğan,Vildan Güler,LISE_ARKADASI
Vildan Güler,Akın Doğan,LISE_ARKADASI
Akın Doğan,Vildan Yılmaz,LISE_ARKADASI
Vildan Yılmaz,Akın Doğan,LISE_ARKADASI
