source,target,relation_type
Ahmet Doğan,Burak Acar,YUKSEK_LISANS_ARKADASI
Burak Acar,Ahmet Doğan,YUKSEK_LISANS_ARKADASI
Ahmet Doğan,Canan Kaya,YUKSEK_LISANS_ARKADASI
Canan Kaya,Ahmet Doğan,YUKSEK_LISANS_ARKADASI
Ahmet Doğan,Ceren Yılmaz,YUKSEK_LISANS_ARKADASI
Ceren Yılmaz,Ahmet Doğan,YUKSEK_LISANS_ARKADASI
Ahmet Doğan,Elif Güneş,YUKSEK_LISANS_ARKADASI
Elif Güneş,Ahmet Doğan,YUKSEK_LISANS_ARKADASI
Ahmet Doğan,Emrah Baran,YUKSEK_LISANS_ARKADASI
Emrah Baran,Ahmet Doğan,YUKSEK_LISANS_ARKADASI
Ahmet Doğan,Engin Tan,YUKSEK_LISANS_ARKADASI
Engin Tan,Ahmet Doğan,YUKSEK_LISANS_ARKADASI
Ahmet Doğan,Gökhan Toprak,YUKSEK_LISANS_ARKADASI
Gökhan Toprak,Ahmet Doğan,YUKSEK_LISANS_ARKADASI
Ahmet Doğan,Gülay Sezer,YUKSEK_LISANS_ARKADASI
Gülay Sezer,Ahmet Doğan,YUKSEK_LISANS_ARKADASI
Ahmet Doğan,Gülnur Toprak,YUKSEK_LISANS_ARKADASI
Gülnur Toprak,Ahmet Doğan,YUKSEK_LISANS_ARKADASI
Ahmet Doğan,Harun Taş,YUKSEK_LISANS_ARKADASI
Harun Taş,Ahmet Doğan,YUKSEK_LISANS_ARKADASI
Ahmet Doğan,İkra Şahin,YUKSEK_LISANS_ARKADASI
İkra Şahin,Ahmet Doğan,YUKSEK_LISANS_ARKADASI
Ahmet Doğan,İrem Yalçın,YUKSEK_LISANS_ARKADASI
İrem Yalçın,Ahmet Doğan,YUKSEK_LISANS_ARKADASI
Ahmet Doğan,İsmail Aktaş,YUKSEK_LISANS_ARKADASI
İsmail Aktaş,Ahmet Doğan,YUKSEK_LISANS_ARKADASI
